nom_de_couleur,caldera_cyan,caldera_magenta,caldera_jaune,caldera_noir,deuxCM7_cyan,deuxCM7_magenta,deuxCM7_jaune,deuxCM7_noir
000 Info,0.00,0.00,0.00,78.00,0.00,0.00,0.00,78.00
001 Rouge,1.00,100.00,73.00,9.00,0.00,90.00,67.00,5.00
002 Orange,0.00,36.00,84.00,0.00,0.00,34.00,84.00,0.00
003 Jaune,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00
004 Vert bouteille,100.00,0.00,60.00,52.00,100.00,0.00,60.00,52.00
005 Marine,95.00,49.00,0.00,53.00,95.00,49.00,0.00,53.00
006 Bleu royal,99.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00
007 Abricot,8.00,25.00,40.00,0.00,8.00,25.00,40.00,0.00
008 Turquoise,48.00,0.20,9.00,1.00,48.00,0.80,5.50,1.00
009 Jade,68.50,0.00,40.00,0.00,68.50,0.00,40.00,0.00
010 Grenoble,37.00,0.00,26.00,0.00,33.00,0.00,23.80,0.00
011 Lime,46.50,0.00,69.00,0.00,46.50,0.00,63.00,0.00
012 Rose pale,0.00,39.00,0.00,0.00,0.00,39.00,0.00,0.00
013 Fushia,16.00,68.00,0.00,0.00,10.00,68.00,0.00,0.00
014 Bleu canada,55.00,5.00,0.00,0.00,53.00,2.00,0.00,0.00
015 Orchidee,52.00,25.00,0.00,0.00,51.00,24.00,0.00,0.00
016 Violet,75.00,51.00,0.00,0.00,75.00,51.00,0.00,0.00
017 Charbon,41.00,0.00,4.00,55.00,20.00,0.00,9.00,51.00
017 Charcoal,41.00,0.00,4.00,55.00,26.00,0.00,9.00,51.00
018 Gris chlore max,33.00,2.00,8.00,47.00,20.00,5.00,8.00,43.00
020 Noir,44.00,0.00,10.00,92.00,0.00,0.00,0.00,94.00
020 Noir special,0.00,0.00,0.00,100.00,0.00,0.00,0.00,100.00
020 Noir triangle,100.00,0.00,0.00,92.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
021 Nature green,63.00,0.00,66.00,56.00,55.00,0.00,66.00,51.00
022 Brick,7.00,83.00,42.00,20.00,0.00,83.00,50.00,20.00
024 Dijon,5.00,9.00,32.00,0.30,5.00,9.00,32.00,0.30
025 Indigo,60.00,19.00,0.00,43.00,55.00,24.00,0.00,43.00
028 Bleu demi ton,99.00,28.00,0.00,0.00,99.00,28.00,0.00,0.00
030 Kaki,13.00,0.00,75.00,60.00,0.00,0.00,82.00,58.00
031 Bourgogne,7.00,86.50,70.00,50.00,0.00,86.50,72.00,45.00
032 Brun,10.00,40.00,77.00,42.00,0.00,47.00,77.00,42.00
033 Bleu ry,86.00,25.00,0.00,0.00,86.00,25.00,0.00,0.00
033 LG Flamme,3.00,70.00,69.00,0.00,0.00,90.00,86.00,0.00
034 Brandy,35.00,60.00,0.00,0.00,29.00,58.00,0.00,0.00
034 LG Bleu eclipse,94.00,62.00,0.00,55.00,couleur non trouvée,couleur non trouvée,couleur non trouvée,couleur non trouvée
035 Chartreuse,45.00,0.00,79.00,36.00,45.00,0.00,79.00,36.00
036 Lilas,44.50,37.00,1.00,0.00,44.50,37.00,1.00,0.00
037 Aqua,52.00,3.00,20.00,0.00,48.00,3.00,14.00,0.00
038 Prune,71.00,69.00,0.00,0.00,71.00,69.00,0.00,0.00
039 Sarcelle,100.00,22.00,43.00,0.00,100.00,22.50,40.00,0.00
040 Ultra violet,95.00,62.00,0.00,0.00,95.00,57.00,0.00,0.00
041 Or,5.00,21.00,77.00,9.00,0.00,21.00,77.00,8.00
042 Citron,0.00,0.00,56.00,0.00,0.00,0.00,56.00,0.00
043 Amethyste,58.00,53.00,8.00,32.00,47.50,53.00,2.00,30.00
045 Magenta process,23.00,56.00,0.00,1.00,14.00,52.00,0.00,1.00
046 LG Bleu marocain,97.00,0.00,28.00,25.00,86.00,0.00,23.00,25.00
